slice,group,sample_size,mean_actual_cost,mae,mean_bias
gender,M,33,237262.6084848485,76270.15959419245,-45404.94392142281
gender,F,17,170322.5394117647,30574.4846551363,-2639.3360063813693
admission_type,ELECTIVE,44,208830.51613636364,54154.420685679324,-36367.77873746321
admission_type,EMERGENCY,6,256101.09,108981.16592929633,9491.73382215752
implant_planned,N,40,203272.48125,64887.53765867377,-37674.40997104435
implant_planned,Y,10,259425.0,44117.999939871734,-3625.5462673662287
age_band,40 or younger,26,167137.55884615384,30934.49175649895,-15881.028887541654
age_band,41-60,14,201081.50142857144,30646.75375275163,7397.276773772518
age_band,61 or older,10,356443.17000000004,180333.01675381727,-123388.69852721684
